DateObserved,MonthObserved,DayObserved,ParameterName,AQI
2020-10-01,2020-10,1,OZONE,43
2020-10-01,2020-10,1,PM2.5,43
2020-10-02,2020-10,2,OZONE,36
2020-10-02,2020-10,2,PM2.5,58
2020-10-03,2020-10,3,OZONE,58
2020-10-03,2020-10,3,PM2.5,93
2020-10-04,2020-10,4,OZONE,74
2020-10-04,2020-10,4,PM2.5,107
2020-10-05,2020-10,5,OZONE,44
2020-10-05,2020-10,5,PM2.5,86
2020-10-06,2020-10,6,OZONE,46
2020-10-06,2020-10,6,PM2.5,115
2020-10-07,2020-10,7,OZONE,67
2020-10-07,2020-10,7,PM2.5,128
2020-10-08,2020-10,8,OZONE,44
2020-10-08,2020-10,8,PM2.5,70
2020-10-09,2020-10,9,OZONE,44
2020-10-09,2020-10,9,PM2.5,66
2020-10-10,2020-10,10,OZONE,39
2020-10-10,2020-10,10,PM2.5,53
2020-10-11,2020-10,11,OZONE,39
2020-10-11,2020-10,11,PM2.5,15
2020-10-12,2020-10,12,OZONE,40
2020-10-12,2020-10,12,PM2.5,24
2020-10-13,2020-10,13,OZONE,34
2020-10-13,2020-10,13,PM2.5,37
2020-10-14,2020-10,14,OZONE,38
2020-10-14,2020-10,14,PM2.5,27
2020-10-15,2020-10,15,OZONE,40
2020-10-15,2020-10,15,PM2.5,22
2020-10-16,2020-10,16,OZONE,38
2020-10-16,2020-10,16,PM2.5,37
2020-10-17,2020-10,17,OZONE,31
2020-10-17,2020-10,17,PM2.5,30
2020-10-18,2020-10,18,OZONE,36
2020-10-18,2020-10,18,PM2.5,26
2020-10-19,2020-10,19,OZONE,27
2020-10-19,2020-10,19,PM2.5,30
2020-10-20,2020-10,20,OZONE,32
2020-10-20,2020-10,20,PM2.5,26
2020-10-21,2020-10,21,OZONE,31
2020-10-21,2020-10,21,PM2.5,34
2020-10-22,2020-10,22,OZONE,42
2020-10-22,2020-10,22,PM2.5,20
2020-10-23,2020-10,23,OZONE,31
2020-10-23,2020-10,23,PM2.5,46
2020-10-24,2020-10,24,OZONE,31
2020-10-24,2020-10,24,PM2.5,54
2020-10-25,2020-10,25,OZONE,31
2020-10-25,2020-10,25,PM2.5,23
2020-10-26,2020-10,26,OZONE,31
2020-10-26,2020-10,26,PM2.5,36
2020-10-27,2020-10,27,OZONE,36
2020-10-27,2020-10,27,PM2.5,55
2020-10-28,2020-10,28,OZONE,32
2020-10-28,2020-10,28,PM2.5,54
2020-10-29,2020-10,29,OZONE,31
2020-10-29,2020-10,29,PM2.5,56
2020-10-30,2020-10,30,OZONE,29
2020-10-30,2020-10,30,PM2.5,37
2020-10-31,2020-10,31,OZONE,31
2020-10-31,2020-10,31,PM2.5,45
2020-11-01,2020-11,1,OZONE,33
2020-11-01,2020-11,1,PM2.5,58
2020-11-02,2020-11,2,OZONE,26
2020-11-02,2020-11,2,PM2.5,64
2020-11-03,2020-11,3,OZONE,26
2020-11-03,2020-11,3,PM2.5,65
2020-11-04,2020-11,4,OZONE,32
2020-11-04,2020-11,4,PM2.5,61
2020-11-05,2020-11,5,OZONE,30
2020-11-05,2020-11,5,PM2.5,62
2020-11-06,2020-11,6,OZONE,35
2020-11-06,2020-11,6,PM2.5,36
2020-11-07,2020-11,7,OZONE,40
2020-11-07,2020-11,7,PM2.5,24
2020-11-08,2020-11,8,OZONE,31
2020-11-08,2020-11,8,PM2.5,22
2020-11-09,2020-11,9,OZONE,27
2020-11-09,2020-11,9,PM2.5,38
2020-11-10,2020-11,10,OZONE,29
2020-11-10,2020-11,10,PM2.5,22
2020-11-11,2020-11,11,OZONE,31
2020-11-11,2020-11,11,PM2.5,18
2020-11-12,2020-11,12,OZONE,31
2020-11-12,2020-11,12,PM2.5,24
2020-11-13,2020-11,13,OZONE,37
2020-11-13,2020-11,13,PM2.5,24
2020-11-14,2020-11,14,OZONE,34
2020-11-14,2020-11,14,PM2.5,12
2020-11-15,2020-11,15,OZONE,26
2020-11-15,2020-11,15,PM2.5,19
2020-11-16,2020-11,16,OZONE,18
2020-11-16,2020-11,16,PM2.5,52
2020-11-17,2020-11,17,OZONE,31
2020-11-17,2020-11,17,PM2.5,15
2020-11-18,2020-11,18,OZONE,26
2020-11-18,2020-11,18,PM2.5,34
2020-11-19,2020-11,19,OZONE,32
2020-11-19,2020-11,19,PM2.5,25
2020-11-20,2020-11,20,OZONE,25
2020-11-20,2020-11,20,PM2.5,38
2020-11-21,2020-11,21,OZONE,23
2020-11-21,2020-11,21,PM2.5,51
2020-11-22,2020-11,22,OZONE,21
2020-11-22,2020-11,22,PM2.5,48
2020-11-23,2020-11,23,OZONE,17
2020-11-23,2020-11,23,PM2.5,64
2020-11-24,2020-11,24,OZONE,28
2020-11-24,2020-11,24,PM2.5,38
2020-11-25,2020-11,25,OZONE,27
2020-11-25,2020-11,25,PM2.5,28
2020-11-26,2020-11,26,OZONE,29
2020-11-26,2020-11,26,PM2.5,18
2020-11-27,2020-11,27,OZONE,24
2020-11-27,2020-11,27,PM2.5,31
2020-11-28,2020-11,28,OZONE,21
2020-11-28,2020-11,28,PM2.5,50
2020-11-29,2020-11,29,OZONE,22
2020-11-29,2020-11,29,PM2.5,62
2020-11-30,2020-11,30,OZONE,14
2020-11-30,2020-11,30,PM2.5,72
2020-12-01,2020-12,1,OZONE,28
2020-12-01,2020-12,1,PM2.5,25
2020-12-02,2020-12,2,OZONE,20
2020-12-02,2020-12,2,PM2.5,27
2020-12-03,2020-12,3,OZONE,22
2020-12-03,2020-12,3,PM2.5,52
2020-12-04,2020-12,4,OZONE,16
2020-12-04,2020-12,4,PM2.5,60
2020-12-05,2020-12,5,OZONE,17
2020-12-05,2020-12,5,PM2.5,79
2020-12-06,2020-12,6,OZONE,15
2020-12-06,2020-12,6,PM2.5,88
2020-12-07,2020-12,7,OZONE,15
2020-12-07,2020-12,7,PM2.5,100
2020-12-08,2020-12,8,OZONE,11
2020-12-08,2020-12,8,PM2.5,94
2020-12-09,2020-12,9,OZONE,9
2020-12-09,2020-12,9,PM2.5,96
2020-12-10,2020-12,10,OZONE,12
2020-12-10,2020-12,10,PM2.5,105
2020-12-11,2020-12,11,OZONE,19
2020-12-11,2020-12,11,PM2.5,59
2020-12-12,2020-12,12,OZONE,26
2020-12-12,2020-12,12,PM2.5,34
2020-12-13,2020-12,13,OZONE,23
2020-12-13,2020-12,13,PM2.5,26
2020-12-14,2020-12,14,OZONE,21
2020-12-14,2020-12,14,PM2.5,52
2020-12-15,2020-12,15,OZONE,21
2020-12-15,2020-12,15,PM2.5,36
2020-12-16,2020-12,16,OZONE,21
2020-12-16,2020-12,16,PM2.5,31
2020-12-17,2020-12,17,OZONE,22
2020-12-17,2020-12,17,PM2.5,23
2020-12-18,2020-12,18,OZONE,21
2020-12-18,2020-12,18,PM2.5,36
2020-12-19,2020-12,19,OZONE,23
2020-12-19,2020-12,19,PM2.5,36
2020-12-20,2020-12,20,OZONE,22
2020-12-20,2020-12,20,PM2.5,40
2020-12-21,2020-12,21,OZONE,20
2020-12-21,2020-12,21,PM2.5,52
2020-12-22,2020-12,22,OZONE,33
2020-12-22,2020-12,22,PM2.5,21
2020-12-23,2020-12,23,OZONE,29
2020-12-23,2020-12,23,PM2.5,20
2020-12-24,2020-12,24,OZONE,22
2020-12-24,2020-12,24,PM2.5,38
2020-12-25,2020-12,25,OZONE,18
2020-12-25,2020-12,25,PM2.5,66
2020-12-26,2020-12,26,OZONE,10
2020-12-26,2020-12,26,PM2.5,70
2020-12-27,2020-12,27,OZONE,29
2020-12-27,2020-12,27,PM2.5,46
2020-12-28,2020-12,28,OZONE,31
2020-12-28,2020-12,28,PM2.5,37
2020-12-29,2020-12,29,OZONE,31
2020-12-29,2020-12,29,PM2.5,40
2020-12-30,2020-12,30,OZONE,22
2020-12-30,2020-12,30,PM2.5,56
2020-12-31,2020-12,31,OZONE,29
2020-12-31,2020-12,31,PM2.5,72
2021-01-01,2021-01,1,OZONE,28
2021-01-01,2021-01,1,PM2.5,64
2021-01-02,2021-01,2,OZONE,28
2021-01-02,2021-01,2,PM2.5,53
2021-01-03,2021-01,3,OZONE,20
2021-01-03,2021-01,3,PM2.5,54
2021-01-04,2021-01,4,OZONE,23
2021-01-04,2021-01,4,PM2.5,54
2021-01-05,2021-01,5,OZONE,32
2021-01-05,2021-01,5,PM2.5,19
2021-01-06,2021-01,6,OZONE,22
2021-01-06,2021-01,6,PM2.5,34
2021-01-07,2021-01,7,OZONE,25
2021-01-07,2021-01,7,PM2.5,69
2021-01-08,2021-01,8,OZONE,21
2021-01-08,2021-01,8,PM2.5,65
2021-01-09,2021-01,9,OZONE,30
2021-01-09,2021-01,9,PM2.5,61
2021-01-10,2021-01,10,OZONE,24
2021-01-10,2021-01,10,PM2.5,42
2021-01-11,2021-01,11,OZONE,18
2021-01-11,2021-01,11,PM2.5,73
2021-01-12,2021-01,12,OZONE,18
2021-01-12,2021-01,12,PM2.5,96
2021-01-13,2021-01,13,OZONE,23
2021-01-13,2021-01,13,PM2.5,94
2021-01-14,2021-01,14,OZONE,32
2021-01-14,2021-01,14,PM2.5,16
2021-01-15,2021-01,15,OZONE,24
2021-01-15,2021-01,15,PM2.5,45
2021-01-16,2021-01,16,OZONE,30
2021-01-16,2021-01,16,PM2.5,73
2021-01-17,2021-01,17,OZONE,25
2021-01-17,2021-01,17,PM2.5,60
2021-01-18,2021-01,18,OZONE,31
2021-01-18,2021-01,18,PM2.5,51
2021-01-19,2021-01,19,OZONE,36
2021-01-19,2021-01,19,PM2.5,20
2021-01-20,2021-01,20,OZONE,27
2021-01-20,2021-01,20,PM2.5,43
2021-01-21,2021-01,21,OZONE,18
2021-01-21,2021-01,21,PM2.5,69
2021-01-22,2021-01,22,OZONE,28
2021-01-22,2021-01,22,PM2.5,53
2021-01-23,2021-01,23,OZONE,33
2021-01-23,2021-01,23,PM2.5,21
2021-01-24,2021-01,24,OZONE,29
2021-01-24,2021-01,24,PM2.5,29
2021-01-25,2021-01,25,OZONE,31
2021-01-25,2021-01,25,PM2.5,57
2021-01-26,2021-01,26,OZONE,34
2021-01-26,2021-01,26,PM2.5,41
2021-01-27,2021-01,27,OZONE,33
2021-01-27,2021-01,27,PM2.5,8
2021-01-28,2021-01,28,OZONE,31
2021-01-28,2021-01,28,PM2.5,13
2021-01-29,2021-01,29,OZONE,34
2021-01-29,2021-01,29,PM2.5,11
2021-01-30,2021-01,30,OZONE,37
2021-01-30,2021-01,30,PM2.5,18
2021-01-31,2021-01,31,OZONE,34
2021-01-31,2021-01,31,PM2.5,34
2021-02-01,2021-02,1,OZONE,25
2021-02-01,2021-02,1,PM2.5,60
2021-02-02,2021-02,2,OZONE,26
2021-02-02,2021-02,2,PM2.5,68
2021-02-03,2021-02,3,OZONE,35
2021-02-03,2021-02,3,PM2.5,10
2021-02-04,2021-02,4,OZONE,32
2021-02-04,2021-02,4,PM2.5,24
2021-02-05,2021-02,5,OZONE,29
2021-02-05,2021-02,5,PM2.5,47
2021-02-06,2021-02,6,OZONE,36
2021-02-06,2021-02,6,PM2.5,33
2021-02-07,2021-02,7,OZONE,39
2021-02-07,2021-02,7,PM2.5,32
2021-02-08,2021-02,8,OZONE,35
2021-02-08,2021-02,8,PM2.5,30
2021-02-09,2021-02,9,OZONE,33
2021-02-09,2021-02,9,PM2.5,33
2021-02-10,2021-02,10,OZONE,32
2021-02-10,2021-02,10,PM2.5,30
2021-02-11,2021-02,11,OZONE,34
2021-02-11,2021-02,11,PM2.5,24
2021-02-12,2021-02,12,OZONE,29
2021-02-12,2021-02,12,PM2.5,11
2021-02-13,2021-02,13,OZONE,30
2021-02-13,2021-02,13,PM2.5,17
2021-02-14,2021-02,14,OZONE,32
2021-02-14,2021-02,14,PM2.5,27
2021-02-15,2021-02,15,OZONE,32
2021-02-15,2021-02,15,PM2.5,13
2021-02-16,2021-02,16,OZONE,34
2021-02-16,2021-02,16,PM2.5,8
2021-02-17,2021-02,17,OZONE,37
2021-02-17,2021-02,17,PM2.5,14
2021-02-18,2021-02,18,OZONE,35
2021-02-18,2021-02,18,PM2.5,28
2021-02-19,2021-02,19,OZONE,33
2021-02-19,2021-02,19,PM2.5,18
2021-02-20,2021-02,20,OZONE,38
2021-02-20,2021-02,20,PM2.5,8
2021-02-21,2021-02,21,OZONE,37
2021-02-21,2021-02,21,PM2.5,10
2021-02-22,2021-02,22,OZONE,35
2021-02-22,2021-02,22,PM2.5,25
2021-02-23,2021-02,23,OZONE,41
2021-02-23,2021-02,23,PM2.5,17
2021-02-24,2021-02,24,OZONE,40
2021-02-24,2021-02,24,PM2.5,18
2021-02-25,2021-02,25,OZONE,39
2021-02-25,2021-02,25,PM2.5,16
2021-02-26,2021-02,26,OZONE,39
2021-02-26,2021-02,26,PM2.5,15
2021-02-27,2021-02,27,OZONE,37
2021-02-27,2021-02,27,PM2.5,11
2021-02-28,2021-02,28,OZONE,38
2021-02-28,2021-02,28,PM2.5,28
2021-03-01,2021-03,1,OZONE,35
2021-03-01,2021-03,1,PM2.5,36
2021-03-02,2021-03,2,OZONE,31
2021-03-02,2021-03,2,PM2.5,51
2021-03-03,2021-03,3,OZONE,37
2021-03-03,2021-03,3,PM2.5,37
2021-03-04,2021-03,4,OZONE,44
2021-03-04,2021-03,4,PM2.5,42
2021-03-05,2021-03,5,OZONE,41
2021-03-05,2021-03,5,PM2.5,37
2021-03-06,2021-03,6,OZONE,41
2021-03-06,2021-03,6,PM2.5,35
2021-03-07,2021-03,7,OZONE,44
2021-03-07,2021-03,7,PM2.5,42
2021-03-08,2021-03,8,OZONE,45
2021-03-08,2021-03,8,PM2.5,41
2021-03-09,2021-03,9,OZONE,41
2021-03-09,2021-03,9,PM2.5,35
2021-03-10,2021-03,10,OZONE,43
2021-03-10,2021-03,10,PM2.5,33
2021-03-11,2021-03,11,OZONE,37
2021-03-11,2021-03,11,PM2.5,25
2021-03-12,2021-03,12,OZONE,44
2021-03-12,2021-03,12,PM2.5,36
2021-03-13,2021-03,13,OZONE,35
2021-03-13,2021-03,13,PM2.5,25
2021-03-14,2021-03,14,OZONE,41
2021-03-14,2021-03,14,PM2.5,21
2021-03-15,2021-03,15,OZONE,45
2021-03-15,2021-03,15,PM2.5,16
2021-03-16,2021-03,16,OZONE,44
2021-03-16,2021-03,16,PM2.5,24
2021-03-17,2021-03,17,OZONE,42
2021-03-17,2021-03,17,PM2.5,43
2021-03-18,2021-03,18,OZONE,44
2021-03-18,2021-03,18,PM2.5,21
2021-03-19,2021-03,19,OZONE,43
2021-03-19,2021-03,19,PM2.5,18
2021-03-20,2021-03,20,OZONE,36
2021-03-20,2021-03,20,PM2.5,19
2021-03-21,2021-03,21,OZONE,39
2021-03-21,2021-03,21,PM2.5,12
2021-03-22,2021-03,22,OZONE,39
2021-03-22,2021-03,22,PM2.5,27
2021-03-23,2021-03,23,OZONE,38
2021-03-23,2021-03,23,PM2.5,36
2021-03-24,2021-03,24,OZONE,42
2021-03-24,2021-03,24,PM2.5,13
2021-03-25,2021-03,25,OZONE,39
2021-03-25,2021-03,25,PM2.5,24
2021-03-26,2021-03,26,OZONE,35
2021-03-26,2021-03,26,PM2.5,27
2021-03-27,2021-03,27,OZONE,42
2021-03-27,2021-03,27,PM2.5,26
2021-03-28,2021-03,28,OZONE,43
2021-03-28,2021-03,28,PM2.5,21
2021-03-29,2021-03,29,OZONE,48
2021-03-29,2021-03,29,PM2.5,39
2021-03-30,2021-03,30,OZONE,43
2021-03-30,2021-03,30,PM2.5,20
2021-03-31,2021-03,31,OZONE,48
2021-03-31,2021-03,31,PM2.5,28
